Area|Item|Year|Unit|Value|Price|Measurement
China- Hong Kong SAR|Bananas non-Cavendish|2020|USD|1747|1.747|KG
China- Hong Kong SAR|Eggs- hen- in shell|2020|USD|9102|9.102|KG
China- Hong Kong SAR|Fruit- citrus nes|2020|USD|2320|2.32|KG
China- Hong Kong SAR|Meat live weight- chicken|2020|USD|6783|6.783|KG
China- Hong Kong SAR|Meat live weight- pig|2020|USD|7174|7.174|KG
China- mainland|Apples|2020|USD|1180|1.18|KG
China- mainland|Bananas|2020|USD|724|0.724|KG
China- mainland|Beans- dry|2020|USD|703|0.703|KG
China- mainland|Beans- green|2020|USD|935|0.935|KG
China- mainland|Carrots and turnips|2020|USD|333|0.333|KG
China- mainland|Cauliflowers and broccoli|2020|USD|478|0.478|KG
China- mainland|Cereals nes|2020|USD|403|0.403|KG
China- mainland|Chillies and peppers- dry|2020|USD|809|0.809|KG
China- mainland|Chillies and peppers- green|2020|USD|785|0.785|KG
China- mainland|Cotton lint|2020|USD|2281|2.281|KG
China- mainland|Cottonseed|2020|USD|401|0.401|KG
China- mainland|Cucumbers and gherkins|2020|USD|623|0.623|KG
China- mainland|Dates|2020|USD|1474|1.474|KG
China- mainland|Eggplants (aubergines)|2020|USD|490|0.49|KG
China- mainland|Eggs- hen- in shell|2020|USD|1465|1.465|KG
China- mainland|Garlic|2020|USD|1094|1.094|KG
China- mainland|Ginger|2020|USD|4710|4.71|KG
China- mainland|Grapefruit (inc. pomelos)|2020|USD|507|0.507|KG
China- mainland|Grapes|2020|USD|1500|1.5|KG
China- mainland|Groundnuts- with shell|2020|USD|1272|1.272|KG
China- mainland|Kiwi fruit|2020|USD|985|0.985|KG
China- mainland|Leeks- other alliaceous vegetables|2020|USD|464|0.464|KG
China- mainland|Lemons and limes|2020|USD|1014|1.014|KG
China- mainland|Lettuce and chicory|2020|USD|842|0.842|KG
China- mainland|Maize|2020|USD|419|0.419|KG
China- mainland|Mangoes- mangosteens- guavas|2020|USD|2174|2.174|KG
China- mainland|Meat live weight- buffalo|2020|USD|3768|3.768|KG
China- mainland|Meat live weight- cattle|2020|USD|2517|2.517|KG
China- mainland|Meat live weight- chicken|2020|USD|1322|1.322|KG
China- mainland|Meat live weight- duck|2020|USD|2385|2.385|KG
China- mainland|Meat live weight- goose|2020|USD|3688|3.688|KG
China- mainland|Meat live weight- pig|2020|USD|2781|2.781|KG
China- mainland|Meat live weight- sheep|2020|USD|5992|5.992|KG
China- mainland|Milk- whole fresh cow|2020|USD|613|0.613|KG
China- mainland|Oil- palm|2020|USD|1290|1.29|KG
China- mainland|Onions- shallots- green|2020|USD|417|0.417|KG
China- mainland|Oranges|2020|USD|736|0.736|KG
China- mainland|Pears|2020|USD|877|0.877|KG
China- mainland|Peas- green|2020|USD|507|0.507|KG
China- mainland|Pepper (piper spp.)|2020|USD|4637|4.637|KG
China- mainland|Persimmons|2020|USD|420|0.42|KG
China- mainland|Pineapples|2020|USD|656|0.656|KG
China- mainland|Potatoes|2020|USD|348|0.348|KG
China- mainland|Pumpkins- squash and gourds|2020|USD|652|0.652|KG
China- mainland|Rapeseed|2020|USD|797|0.797|KG
China- mainland|Rice- paddy|2020|USD|414|0.414|KG
China- mainland|Rubber- natural|2020|USD|2010|2.01|KG
China- mainland|Seed cotton|2020|USD|884|0.884|KG
China- mainland|Sesame seed|2020|USD|1716|1.716|KG
China- mainland|Soybeans|2020|USD|769|0.769|KG
China- mainland|Spinach|2020|USD|326|0.326|KG
China- mainland|Sugar cane|2020|USD|756|0.756|KG
China- mainland|Sunflower seed|2020|USD|993|0.993|KG
China- mainland|Sweet potatoes|2020|USD|1000|1|KG
China- mainland|Taro (cocoyam)|2020|USD|348|0.348|KG
China- mainland|Tomatoes|2020|USD|556|0.556|KG
China- mainland|Walnuts- with shell|2020|USD|6086|6.086|KG
China- mainland|Watermelons|2020|USD|668|0.668|KG
China- mainland|Wheat|2020|USD|366|0.366|KG
