_unit_id,product_link,product_price,product_title,query,source,,,,,,
711158459,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/321459436277?pt=LH_DefaultDomain_0&hash=item4ad879baf5,329.98,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158460,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/131467224962?pt=LH_DefaultDomain_0&hash=item1e9c0ea782,324.84,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158461,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-500-GB-Jet-Black-Console-/171564913575?pt=LH_DefaultDomain_0&hash=item27f210d3a7,324.83,Sony PlayStation 4 PS4 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158462,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-The-Last-of-Us-Remastered-Bundle-Black-/261867581805?pt=LH_DefaultDomain_0&hash=item3cf886316d,350,Sony - PlayStation 4 500GB The Last of Us Remastered Bundle - Black,playstation 4,eBay,,,,,,
711158463,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/121512215166?pt=LH_DefaultDomain_0&hash=item1c4ab1427e,308,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158464,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/321739452651?pt=LH_DefaultDomain_0&hash=item4ae92a70eb,310,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158465,http://www.ebay.com/itm/BRAND-NEW-Sony-PlayStation-4-BUNDLE-500gb-/281672602591?pt=LH_DefaultDomain_0&hash=item4194fed3df,910,BRAND NEW Sony PlayStation 4 BUNDLE 500gb,playstation 4,eBay,,,,,,
711158466,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-Dualshock-Wireless-Control-HDMI-Gaming-Console-Refurb-/291398220855?pt=LH_DefaultDomain_0&hash=item43d8affc37,299.99,Sony PlayStation 4 500GB, Dualshock Wireless Control, HDMI Gaming Console Refurb,playstation 4,eBay,,,,
711158467,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-w-2-Controllers-/191563117865?pt=LH_DefaultDomain_0&hash=item2c9a0d3529,350,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console w/ 2 Controllers,playstation 4,eBay,,,,,,
711158468,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-NEW-/191323651417?pt=LH_DefaultDomain_0&hash=item2c8bc73d59,469.97,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console *NEW*,playstation 4,eBay,,,,,,
711158469,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-wth-Mortal-Kombat-X-/261867577701?pt=LH_DefaultDomain_0&hash=item3cf8862165,390,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console..wth Mortal Kombat X,playstation 4,eBay,,,,,,
711158470,http://www.ebay.com/itm/Genuine-SONY-PS4-Playstation-4-500GB-Gaming-Console-Black-/281675418359?pt=LH_DefaultDomain_0&hash=item419529caf7,289.99,Genuine SONY PS4 Playstation 4 500GB Gaming Console - Black,playstation 4,eBay,,,,,,
711158471,http://www.ebay.com/itm/Sony-Playstation-4-PS4-Video-Game-Console-Black-Latest-Model-/221619727695?pt=LH_DefaultDomain_0&hash=item339990ad4f,443.6,[Sony] Playstation 4 PS4 Video Game Console Black - Latest Model,playstation 4,eBay,,,,,,
711158472,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/121492378177?pt=LH_DefaultDomain_0&hash=item1c49829241,349.99,Sony PlayStation 4 (Latest Model) 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158473,http://www.ebay.com/itm/Sony-PlayStation-4-500-GB-Jet-Black-Console-WITH-LAST-OF-US-REMASTERED-/181703768765?pt=LH_DefaultDomain_2&hash=item2a4e637abd,285,Sony PlayStation 4 - 500 GB Jet Black Console - WITH LAST OF US REMASTERED,playstation 4,eBay,,,,,,
711158474,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/321739448586?pt=LH_DefaultDomain_0&hash=item4ae92a610a,399.99,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158475,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/281668431061?pt=LH_DefaultDomain_0&hash=item4194bf2cd5,285,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158476,http://www.ebay.com/itm/Sony-PlayStation-4-500-GB-Jet-Black-Console-3-controllers-3-games-included-/141650033710?pt=LH_DefaultDomain_0&hash=item20fafffc2e,340,Sony PlayStation 4 - 500 GB Jet Black Console (3 controllers,3 games included),playstation 4,eBay,,,,,
711158477,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-Console-with-2-Controllers-/181674777653?pt=LH_DefaultDomain_0&hash=item2a4ca91c35,389.99,Sony PlayStation 4 500GB Console with 2 Controllers,playstation 4,eBay,,,,,,
711158478,http://www.ebay.com/itm/Sony-PlayStation-4-500GB-The-Last-of-Us-Remastered-Bundle-Black-/271852505826?pt=LH_DefaultDomain_0&hash=item3f4bac0ae2,399.99,Sony - PlayStation 4 500GB The Last of Us Remastered Bundle - Black,playstation 4,eBay,,,,,,
711158479,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/191567367225?pt=LH_DefaultDomain_0&hash=item2c9a4e0c39,380,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158480,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/261868106780?pt=LH_DefaultDomain_0&hash=item3cf88e341c,360,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,eBay,,,,,,
711158481,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/131492408652?pt=LH_DefaultDomain_0&hash=item1e9d8eed4c,285,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console*,playstation 4,eBay,,,,,,
