Medication_Name|Package_Size|Max_Consumer_Price
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV|1|3051
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV|1|1775
ABELCET 5MG/ML 10 VIAL 20ML (100MG/20ML)|10|4058
ABILIFY  MAINTENA 300 MG VIAL|1|1345
ABILIFY MAINTENA 400 MG/PREFILLED SYR|1|1094
ABIRATERONE ACETATE 250MG 120TAB|120|14543
ABITREN 100MG 10 SR TAB|10|9
ABITREN 50MG 10SUPP|10|11
ABITREN INJ 75MG/3CC|5|11
ABRAXANE 5MG/ML VIAL 100MG/20ML|1|1212
ABSTRAL 100MCG 30TAB SUBLINGUAL|30|879
ABSTRAL 200MCG 30TAB SUBLINGUAL|30|895
ABSTRAL 400MCG 30TAB SUBLINGUAL|30|874
ABSTRAL 600MCG 30TAB SUBLINGUAL|30|889
ABSTRAL 800MCG 30 TAB SUBLINGUAL|30|869
ACCOFIL 300 MCG/0.5 ML|1|149
ACCOFIL 480 MCG/0.5 ML 1PFS|1|225
ACERIL 12.5MG 90TAB|90|15
ACERIL 25MG 90TAB|90|32
ACERIL 50MG 90TAB|90|42
ACLASTA 5MG/100ML 1BOTTLE|1|957
ACNETRIM SOL 25ML|25|15
ACROSE 100MG 30TAB|30|24
ACROSE 50MG 30TAB|30|16
ACTEMRA 162 MG S.C. 4 SYRINGE PREFILLED|4|3639
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.|1|1416
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.|1|566
ACTILYSE 20 MG 1VIAL/20ML|1|767
ACTILYSE 50 MG 1VIAL/50ML|1|2079.
ACTIQ 1200MCG 30 COMPRESSED TAB|30|960
ACTIQ 1600MCG 30 COMPRESSED TAB|30|923
ACTIQ 200MCG 30 COMPRESSED TAB|30|736
ACTIQ 400MCG 30 COMPRESSED TAB|30|887
ACTIQ 600MCG 30 COMPRESSED TAB|30|819
