1,MARY,2.63%,8536305
2,PATRICIA,1.07%,3484007
3,LINDA,1.04%,3360622
4,BARBARA,0.98%,3182038
5,ELIZABETH,0.94%,3042418
6,JENNIFER,0.93%,3026183
7,MARIA,0.83%,2688498
8,SUSAN,0.79%,2578100
9,MARGARET,0.77%,2493679
10,DOROTHY,0.73%,2360553
11,LISA,0.70%,2285872
12,NANCY,0.67%,2172228
13,KAREN,0.67%,2165734
14,BETTY,0.67%,2162487
15,HELEN,0.66%,2152746
16,SANDRA,0.63%,2042349
17,DONNA,0.58%,1892988
18,CAROL,0.57%,1834543
19,RUTH,0.56%,1824802
20,SHARON,0.52%,1694922
21,MICHELLE,0.52%,1685182
22,LAURA,0.51%,1655959
23,SARAH,0.51%,1649465
24,KIMBERLY,0.50%,1636477
25,DEBORAH,0.49%,1604007
26,JESSICA,0.49%,1591019
27,SHIRLEY,0.48%,1565043
28,CYNTHIA,0.47%,1522833
29,ANGELA,0.47%,1519586
30,MELISSA,0.46%,1500104
31,BRENDA,0.46%,1477375
32,AMY,0.45%,1464387
33,ANNA,0.44%,1428670
34,REBECCA,0.43%,1396201
35,VIRGINIA,0.43%,1396201
36,KATHLEEN,0.42%,1376719
37,PAMELA,0.42%,1350743
38,MARTHA,0.41%,1337755
39,DEBRA,0.41%,1324767
40,AMANDA,0.40%,1311779
41,STEPHANIE,0.40%,1298791
42,CAROLYN,0.39%,1250087
43,CHRISTINE,0.38%,1240346
44,MARIE,0.38%,1230605
45,JANET,0.38%,1230605
46,CATHERINE,0.37%,1211123
47,FRANCES,0.37%,1201382
48,ANN,0.36%,1181900
49,JOYCE,0.36%,1181900
50,DIANE,0.36%,1165665
51,ALICE,0.36%,1159171
52,JULIE,0.35%,1129948
53,HEATHER,0.34%,1094232
54,TERESA,0.34%,1090985
55,DORIS,0.34%,1087738
56,GLORIA,0.34%,1087738
57,EVELYN,0.32%,1045527
58,JEAN,0.32%,1022798
59,CHERYL,0.32%,1022798
60,MILDRED,0.31%,1016304
61,KATHERINE,0.31%,1016304
62,JOAN,0.31%,993575
63,ASHLEY,0.30%,983834
64,JUDITH,0.30%,964352
65,ROSE,0.30%,961105
66,JANICE,0.29%,925389
67,KELLY,0.28%,918895
68,NICOLE,0.28%,912401
69,JUDY,0.28%,896166
70,CHRISTINA,0.28%,892919
71,KATHY,0.27%,883178
72,THERESA,0.27%,879931
73,BEVERLY,0.27%,866943
74,DENISE,0.26%,857202
75,TAMMY,0.26%,840967
76,IRENE,0.25%,818238
77,JANE,0.25%,811744
78,LORI,0.25%,805251
79,RACHEL,0.24%,785769
80,MARILYN,0.24%,782522
81,ANDREA,0.24%,766287
82,KATHRYN,0.23%,759793
83,LOUISE,0.23%,743558
84,SARA,0.23%,743558
85,ANNE,0.23%,740311
86,JACQUELINE,0.23%,740311
87,WANDA,0.23%,733817
88,BONNIE,0.22%,724076
89,JULIA,0.22%,724076
90,RUBY,0.22%,717582
91,LOIS,0.22%,714335
92,TINA,0.22%,714335
93,PHYLLIS,0.22%,711088
94,NORMA,0.22%,707841
95,PAULA,0.22%,704594
96,DIANA,0.22%,701347
97,ANNIE,0.22%,701347
98,LILLIAN,0.21%,685112
99,EMILY,0.21%,675371
