Medication_Name,Package_Size,Max_Consumer_Price
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1,5009.39
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1,2888.65
ABILIFY 10MG 28TAB,28,579.99
ABILIFY 15MG 28TAB,28,570.7
ABILIFY 30MG 28TAB,28,906.49
ABILIFY 5MG 28TAB,28,541.74
ABITREN 100MG 10 SR TAB,10,11.57
ABITREN 100MG 20 SR TAB,20,23.14
ABITREN 50MG 10SUPP,10,11.72
ABITREN INJ 75MG/3CC,5,11.8
ACERIL 12.5MG 90TAB,90,29.11
ACERIL 25MG 90TAB,90,48.32
ACERIL 50MG 90TAB,90,84.55
ACLASTA 5MG/100ML 1BOTTLE,1,1978.14
ACNETRIM SOL 25ML,25,16.71
ACROSE 100MG 30TAB,30,29.67
ACROSE 50MG 30TAB,30,21.35
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1,2067.78
ACTEMRA 20MG/ML 1X20ML(400MG) CONC. FOR SOLUTION FOR INF.,1,4111.9
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1,835.86
ACTIQ 1200MCG 30 COMPRESSED TAB,30,1218.2
ACTIQ 1600MCG 30 COMPRESSED TAB,30,1218.2
ACTIQ 200MCG 30 COMPRESSED TAB,30,1109.36
ACTIQ 400MCG 30 COMPRESSED TAB,30,1109.36
ACTIQ 600MCG 30 COMPRESSED TAB,30,1109.36
ACTIQ 800MCG 30 COMPRESSED TAB,30,1114.3
ACTIVELLE 28TAB,28,53.55
ACTONEL 30MG 28TAB,28,742.24
ACTONEL 5MG 28TAB,28,94.51
ACTONEL 75MG 2TAB,2,106.05
ACTONEL ONCE A WEEK 35MG 4TAB,4,80.85
ACYCLOVENIR 250MG 5VIAL/10ML,5,239.02
ADAFERIN CREAM 0.1% 30GR,30,38.54
ADAFERINE GEL 30GR,30,38.54
ADIZEM CD 120MG 30CAP,30,41.03
ADIZEM CD 180MG 30CAP,30,48.57
ADIZEM CD 240MG 30CAP,30,62.98
AERIUS 5MG 15TAB,15,21.18
AERIUS 5MG 30TAB,30,42.37
AERIUS SYRUP 0.5MG/ML 120ML,120,23.64
AEROVENT SOL 20ML,20,34.32
AFINITOR 10MG 30TABLETS,30,21278.26
AFINITOR 2.5MG 30TABLETS,30,8771.69
AFINITOR 5MG 30TABLETS,30,17556.24
AGGRENOX 60 CAPS,60,78.9
AGIOLAX GRANULES 200GR,200,64.32
AGISERC 16MG 30TAB,30,17.63
AGISPOR CREAM 15GR,15,27.26
AGISPOR GEL 15GR,15,14.44
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10,126.18
AGISPOR SOL 15ML,15,18.27
AGISTEN 1 VAGINAL TAB  0.5GR,1,13.03
AGISTEN 3 VCR 20GR 2%,20,23.49
AGISTEN 6 VAGINAL TAB 0.1GR,6,12.38
AGRIPPAL S1,1,35.02
AGRYLIN 0.5MG 100CAP,100,2429.71
AHISTON 2MG 20TAB,20,19.25
AKNE-MYCIN PLUS SOL 25ML,25,56.87
AKNE-MYCIN SOL 25ML,25,16.71
ALCON AZOPT 1% 5ML,5,60.79
ALDACTONE 25MG 20T,20,11.59
ALDARA 5% CREAM 12SACH,12,329.97
ALDOSPIRONE 100MG 20TAB,20,20.69
ALDOSPIRONE 25MG 20TAB,20,11.59
ALENDRONATE TEVA 10MG 30TAB,30,88.74
ALENDRONATE TEVA 70MG 4TAB,4,58.48
ALFU-KAL XL 10MG 30TAB,30,77.97
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30,77.97
ALFUZOSIN WINTHROP XL 10MG 30 TAB,30,77.97
ALKERAN  2MG 25 TABS,25,24.31
ALKERAN INJ 50MG/10ML,1,159.12
ALLEGRO NASAL SPRAY 15ML (120DOSES),120,50.01
ALLORIL 100MG 50TAB,50,11.51
ALLORIL 300MG 20TAB,20,9.48
ALOMIDE 10ML,10,43.05
ALPHA D3 0.25MCG 30CAP,30,26.92
ALPHA D3 0.25MCG 50CAP,50,44.87
ALPHA D3 1MCG 30CAP,30,68.1
ALPHA D3 1MCG 50CAP,50,113.5
ALPRALID 0.25MG 30TAB,30,9.38
ALPRALID 0.50MG 30TAB,30,13.96
ALPRALID 1MG 30TAB,30,23.45
ALPROX 0.25MG 30TAB,30,9.38
ALPROX 0.50MG 30TAB,30,13.96
ALPROX 1MG 30TAB,30,23.45
ALVESCO 160MCG 60 ACT SOL  FOR INH,60,153.61
AMARYL 1MG 30TAB,30,14.66
AMARYL 2MG 30TAB,30,19.52
AMARYL 3MG 30TAB,30,26.59
AMARYL 4MG 30TAB,30,33.7
AMIODACORE 200MG 30TAB,30,27.95
AMIODACORE INJECTION 150MG/3ML 6X3AMP,6,18.57
AMLODIPINE PHARMASWISS 10 MG 20TAB,20,20.76
AMLODIPINE PHARMASWISS 5 MG 20TAB,20,12.32
AMLODIPINE TEVA 10MG 20TAB,20,20.76
AMLODIPINE TEVA 5MG 20TAB,20,12.32
AMLOW 10MG 20TAB,20,20.76
AMLOW 5MG 20TAB,20,12.32
AMOXICLAV TEVA 875MG 14TAB,14,38.05
AMOXICLAV-TEVA 250 SUSP 100ML,100,24.63
AMOXICLAV-TEVA 250MG 20TAB,20,29.95
AMOXICLAV-TEVA 500 20TAB,20,36.53
ANAFRANIL 25MG 30TAB,30,13.83
ANAFRANIL SR 75MG 20TAB,20,31.07
ANASTROL 1MG 30TAB,30,257.95
ANASTROZOLE 1MG 30TAB,30,257.95
ANASTROZOLE INOVAMED 1MG 30TAB,30,257.95
ANDROCUR 10MG 15TAB,15,29.8
ANDROCUR 50MG 50TAB,50,179.36
ANDROGEL 25MG 30SACHX2.5G,30,139.44
ANDROGEL 50MG 30SACHX5G,30,252.25
ANDROXON 40MG 30CAP,30,49.65
ANGELIQ 1X28TAB,28,91.75
APIDRA 100 IU/ML CART 5X3ML,15,184.08
APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15,189.27
APIDRA VIAL 1X10ML,10,121.7
APO GO PEN 10MG/ML 5X3ML,5,695.25
APO-GO 10MG/ML 5AMPX2ML,5,276.6
APO-GO 10MG/ML 5AMPX5ML,5,464.02
APOVENT SOL 20ML,20,34.32
AQUIMOD CREAM 5 % 12SACHET (0.25G),12,329.97
ARAGEST 2.5MG 30TAB,30,15.62
ARAGEST 5MG 30TAB,30,16.68
ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4,4340.91
ARANESP 100MCG PREFILLED PEN 1X0.5ML,1,1089.07
ARANESP 10MCG 4 PREFILLED SYR 0.4ML,4,443.3
ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4,6300.08
ARANESP 150MCG PREFILLED PEN 1X0.3ML,1,1603.12
ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4,741.51
ARANESP 20MCG PREFILLED PEN 1X0.5ML,1,219.42
ARANESP 300MCG PREFILLED PEN 1X0.6ML,1,3157.78
ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4,1324.74
ARANESP 40MCG 4 PREFILLED SYR 0.4ML,4,1864.83
ARANESP 40MCG PREFILLED PEN 1X0.4ML,1,441.39
ARANESP 500MCG PREFILLED PEN 1X1ML,1,5093.29
ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4,2334.41
ARANESP 50MCG PREFILLED PEN 1X0.5ML,1,574.08
ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4,2634.97
ARANESP 60MCG PREFILLED PEN 1X0.3ML,1,659.85
ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4,3508.62
ARANESP 80MCG PREFILLED PEN 1X0.4ML,1,875.06
ARAVA 100MG 3TAB,3,164.04
ARAVA 10MG 30TAB,30,230.52
ARAVA 20MG 30TAB,30,252.09
ARCOXIA 120MG 7TAB,7,48.88
ARCOXIA 30MG 28TAB,28,109.41
ARCOXIA 60MG 10TAB,10,48.37
ARCOXIA 90MG 10TAB,10,50.55
AREDIA VIAL 90MG PWDR 10ML SOLV,1,713.04
AREDIA VIALS 2X30MG + 2x10ML SOLV,2,555.75
ARICEPT 10MG 28TAB,28,195.2
ARICEPT 5MG 28TAB,28,176.7
ARIMIDEX 1MG 28TAB,28,240.75
ARIXTRA 10MG/0.8ML 10 PREFIL SYR,10,929.99
ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR,10,434.89
ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE,10,929.99
AROMASIN 25MG 30TAB,30,351.58
ART 50 50MG 30CAPS,30,50.73
ARTHROTEC 50 20TAB,20,30.06
ARTHROTEC 75 20TAB,20,38.43
ARTHRYL 1500MG 30 SACHETS,30,63.36
ARZERRA 1000MG/50ML 1X50ML VIAL,1,14264.27
ARZERRA 100MG/5ML 3X5ML VIALS,3,4279.28
ASACOL 400MG 100TAB,100,151.99
ASACOL 800MG 60TAB,60,234.1
ASENTA 10MG 28TAB,28,195.2
ASENTA 5MG 28TAB,28,176.7
ASSIVAL 10MG 30TAB,30,11.78
ASSIVAL 10MG/2ML 5AMP,5,15.16
ASSIVAL 2MG 30TAB,30,4
ASSIVAL 5MG 30TAB,30,7.84
ATACAND 16MG 28TAB,28,80.98
ATACAND 8MG 28TAB,28,66.32
ATACAND PLUS 28TAB,28,72.66
ATORVASTATIN TEVA 10MG 30TAB,30,35.4
ATORVASTATIN TEVA 20MG 30TAB,30,56.24
ATORVASTATIN TEVA 40MG 30TAB,30,94.68
ATORVASTATIN TEVA 80MG 30TAB,30,127.48
ATOSIBAN 7.5MG/ML 0.9ML(6.75MG),1,170.62
ATOSIBAN 7.5MG/ML 5ML (37.5MG),5,2535.39
ATRIANCE 5MG/ML INJ 6X50ML VIALS,6,11031.72
ATRIPLA 30TAB,30,4348.73
ATROSPAN DRPS 1%10CC,10,19.37
ATROVENT INHALER 20MCG 200DOSES,200,34.58
ATZIRUT X 30 TAB,30,21.15
AUGMENTIN 1.2G 10VIALS,10,154.09
AUGMENTIN 125MG 100ML,100,14.81
AUGMENTIN 250MG 20TAB,20,29.95
AUGMENTIN 250MG100ML,100,24.63
AUGMENTIN 400MG SUSP 35ML,35,14.03
AUGMENTIN 400MG SUSP 70ML,70,28.06
AUGMENTIN 500MG 10VIALS,10,83.79
AUGMENTIN 500MG 20TAB,20,36.53
AUGMENTIN B.I.D 875MG 14TAB,14,38.05
AVAMYS 27.5MCG/DOSE 120DOSES,120,53.5
AVANDIA 4MG 28TAB,28,121.91
AVANDIA 8MG 28TAB,28,226.6
AVASTIN 100MG 25MG/ML VIAL 4ML,1,1882.12
AVASTIN 400MG 25MG/ML VIAL 16ML,1,7260.57
AVAXIM INJ SOL 1X0.5ML,1,130.13
AVODART 0.5MG 30CAPS,30,160.38
AVONEX 4X30MCG/ML SYRINGE,4,4589.69
AZARGA 5ML,5,84.78
AZENIL 200MG 15ML,15,26.54
AZENIL 200MG 22.5ML,22.5,39.82
AZENIL 250MG 6CAPSULES,6,33.35
AZILECT 1MG 30TAB,30,543.66
AZITHROMYCIN TEVA 200MG/5ML 15ML,15,26.54
AZITHROMYCIN TEVA 200MG/5ML 22.5ML,22.5,39.82
AZOPI 50MG 100TAB,100,114.19
BACLOSAL 10MG 50TAB,50,24.04
BACLOSAL 25MG 50TAB,50,45.18
BACTROBAN 15GR OINT,15,31.88
BACTROBAN NASAL 3GR,3,39.18
BARACLUDE 0.5 MG 30 F.C. TABS,30,2424.45
BARACLUDE 1 MG 30 F.C. TABS,30,2559.5
BEDODEKA 100AMP,100,183.04
BELARA 1X21TAB,21,45.64
BELARA 3X21TAB,63,124.93
BENAZEPRIL-TEVA 10MG 30TAB,30,49.06
BENAZEPRIL-TEVA 20MG 30TAB,30,101.48
BENAZEPRIL-TEVA 5MG 30TAB,30,34.7
BENEFIX 1000IU/VIAL I.V 1 VIAL,1,3968.43
BENEFIX 2000IU/VIAL I.V 1 VIAL,1,8005.3
BENEFIX 250IU/VIAL I.V 1 VIAL,1,992.62
BENEFIX 500 IU/VIAL I.V 1 VIAL,1,1993.71
BENLYSTA 1X120MG POWD FOR CONCENTRATE FOR INF VIAL 5ML,1,847.95
BENLYSTA 1X400MG PWD FOR CONCENTRATE FOR INF VIAL 20ML,1,2771.98
BENZALIN GEL TOPICAL 25G,25,85.94
BERINERT 500U/VIAL POWDER FOR SOL FOR INJ/INF,1,2993.45
BETACAP 0.1% 100ML,100,37.78
BETACORTEN CREAM 15G,15,7.53
BETACORTEN G CR 15GR,15,52.43
BETACORTEN G OINT15G,15,52.43
BETACORTEN OINT 15GR,15,7.17
BETACORTEN TOPICAL SCALP  APPL SOL 30ML,30,11.34
BETAFERON 0.3MG/VIAL 15VIAL+SYR,15,4438.8
BETAREN 100MG 10 S.R.TAB,10,11.57
BETAREN 100MG 20 S.R.TAB,20,23.14
BETISTINE 16MG 30TAB,30,17.63
BETNESOL 0.50MG 30TAB,30,12.6
BETNOVATE CREAM 15G,15,7.53
BETNOVATE OINT 15G,15,7.17
BETNOVATE TOPICAL SCALP APPL SOL 30ML,30,11.34
BETOPTIC S 5ML 0.25%,5,25.96
BEZAFIBRATE 400MG 30 SR TAB,30,37.81
BICALUTAMIDE TEVA 150MG 30TAB,30,561.85
BICALUTAMIDE TEVA 50MG 30TAB,30,270.09
BICAMIDE 150MG 30F.C TAB,30,561.85
BIFONAZOLE CREAM 1% 15GR,15,27.26
BIFONAZOLE TEVA CREAM 15GR,15,27.26
BIO TROPIN 10MG VIAL,1,1371.22
BIODROXIL 125MG/5ML SUSP 60 ML,60,10.38
BIODROXIL 250MG/5ML SUSP 60 ML,60,15.9
BIODROXIL 500 MG 12 CAPSULES,12,22.82
BIO-TROPIN 4MG (12 IU) VIAL,1,624.23
BLASTOVIN 1VIAL 10MG/10ML,1,63
BLEOMYCIN PFI 15000 IU/VIAL 10 VIALS,10,1312.29
BONDORMIN 0.25MG 10TAB,10,13.39
BONEFOS 800MG 30TAB,30,495.59
BONSERIN 30MG 20TAB,20,18.46
BOOSTRIX SUSP FOR INJ PREFIL SYR 0.5ML,1,90.52
BOTOX 100 1VIAL,1,1126.75
BOTOX 50 UNITS VIAL 5ML,1,597.7
BRAVELLE 75IU 10AMP,10,926.27
BREXIN 20MG 10 SACHETS WATER SOLUBLE POWDER,10,23.34
BREXIN 20MG 20 SACHETS WATER SOLUBLE POWDER,20,46.69
BREXIN 20MG 20TAB,20,40.17
BRICALIN ELIXIR 115ML,115,8.73
BRICALIN TURBUHALER 200DOSES,200,51.7
BRIDION 10X2ML VIALS,10,4475.27
BRIDION 10X5ML VIALS,10,11168.1
BRILINTA 90MG 168 TAB,168,1056.6
BRILINTA 90MG 56TAB,56,352.2
BROTIZOLAM-TEVA 0.25MG 10TAB,10,13.39
BUDESON 3MG 100CAPS,100,447.24
BUDESONIDE STERINEBS TEVA 0.5MG/2ML 20UNITS,20,120.65
BUDESONIDE STERINEBS TEVA 1MG/2ML 20UNITS,20,184.26
BUDICORT RESP1MG/2ML 20UNITS,20,184.26
BUDICORT RESPULES 0.5MG/2ML 20UNITS,20,120.65
BUDICORT TURBUHALER 100MCG/DOSE 200 DOSES,200,90.65
BUDICORT TURBUHALER 200MCG/DOSE 100DOSES,100,78.09
BUTRANS  20MG 2PATCHES,2,287.08
BUTRANS 10MG 2PATCHES,2,174.03
BUTRANS 5MG 2PATCHES,2,102.84
BYETTA 10MCG 2.4ML,1,525.65
BYETTA 5MCG 1.2ML,1,504.23
