Domain,Area,Element,Item,Year,Months,Unit,Value,Price,Measurement
Producer Prices,"China, Hong Kong SAR",Producer Price (USD/tonne),Bananas non-Cavendish,2020,Annual value,USD,1747,1.747,KG
Producer Prices,"China, Hong Kong SAR",Producer Price (USD/tonne),"Eggs, hen, in shell",2020,Annual value,USD,9102,9.102,KG
Producer Prices,"China, Hong Kong SAR",Producer Price (USD/tonne),"Fruit, citrus nes",2020,Annual value,USD,2320,2.32,KG
Producer Prices,"China, Hong Kong SAR",Producer Price (USD/tonne),"Meat live weight, chicken",2020,Annual value,USD,6783,6.783,KG
Producer Prices,"China, Hong Kong SAR",Producer Price (USD/tonne),"Meat live weight, pig",2020,Annual value,USD,7174,7.174,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Apples,2020,Annual value,USD,1180,1.18,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Bananas,2020,Annual value,USD,724,0.724,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),"Beans, dry",2020,Annual value,USD,703,0.703,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),"Beans, green",2020,Annual value,USD,935,0.935,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Carrots and turnips,2020,Annual value,USD,333,0.333,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Cauliflowers and broccoli,2020,Annual value,USD,478,0.478,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Cereals nes,2020,Annual value,USD,403,0.403,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),"Chillies and peppers, dry",2020,Annual value,USD,809,0.809,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),"Chillies and peppers, green",2020,Annual value,USD,785,0.785,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Cotton lint,2020,Annual value,USD,2281,2.281,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Cottonseed,2020,Annual value,USD,401,0.401,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Cucumbers and gherkins,2020,Annual value,USD,623,0.623,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Dates,2020,Annual value,USD,1474,1.474,KG
Producer Prices,"China, mainland",Producer Price (USD/tonne),Eggplants (aubergines),2020,Annual value,USD,490,0.49,KG
